electeur	auteur	vote	version
guillaumedaudin	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
annickvalibouze	consortiumcouperin	-1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
celinefouga	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
yasminebouagga	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
laurentromary	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
thierrydautcourt1	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
fredericschmidt	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
sgl	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
francoisetruffert	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
mauleskinemouraby	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
leboecla	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
pascaltobaly	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
emiliebrunet	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
yvesdelavilleguerin	consortiumcouperin	-1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
silvanodalzilio	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
coeurjolly	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
ericchauvet	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
ancamuscholl	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
lionelarnaud	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
saeditionsdupuis	consortiumcouperin	-1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
catherinexuereb	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
allia	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
bernieseek	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
buloismichael	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
dissemin	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
jeanfrancois	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
nicolasbraudsantoni	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
dubois3	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
mauran	consortiumcouperin	-1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
apincetre	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
deputeeisabelleattard	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
benoitrkloeckner	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
helenebourguignon	consortiumcouperin	-1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
marcjeanmougin	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
yoanncouble	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
adelineregeuniversitedestrasbourg	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
brundominique1	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
isabelleramade	consortiumcouperin	0	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
pocinho	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
